"kaiser pharmacy"	"Kaiser"	"Healthcare"
"kash n karry"	"Kash N Karry"	"Food:Groceries"
"kay bee toys"	"KB toys"	"Leisure:Toys and Games"
"kenneth cole"	"Kenneth Cole"	"Clothing"
"kfc"	"KFC"	"Food:Dining out"
"kids r us"	"Kids-R-Us"	"Leisure:Toys and Games"
"king kullen"	"King Kullen"	"Food:Groceries"
"king soopers"	"King Soopers"	"Food:Groceries"
"kings supermarket"	"Kings supermarket"	"Food:Groceries"
"kinko s"	"Kinkos"	"Mail and Paper Work"
"kmart"	"Kmart"	"Household"
"kohl s dept store"	"Kohl's"	"Clothing"
"kohl s dept"	"Kohl's"	"Clothing"
"kohls dept store"	"Kohl's"	"Clothing"
"kragen"	"Kragen"	"Automobile"
"krispy kreme"	"Krispy Kreme"	"Food:Dining out"
"kroger"	"Kroger"	"Food:Dining out"
"kwik fill"	"Kwik"	"Automobile:Gasoline"
"kwik pantry"	"Kwik"	"Food:Groceries"
"kwik shop"	"Kwik"	"Food:Groceries"
"kwik trip"	"Kwik"	"Automobile:Gasoline"
"l a fitness"	"LA fitness"	"Leisure:Sporting Events"
"la madeleine"	"la Madeleine"	"Food:Dining out"
"lane bryant"	"LaneBryant"	"Clothing"
"larry s market"	"Larry's Market"	"Food:Groceries"
"limited stores"	"The Limited"	"Clothing"
"limited too"	"Limited Too"	"Clothing"
"linens n things"	"Linens-n-Things"	"Household"
"little caesars"	"Little Caesars"	"Food:Dining out"
"loews"	"Loews"	"Vacation:Lodging"
"longs drug"	"Longs Drug"	"Healthcare"
"lord taylor"	"Lord Taylor"	"Clothing"
"lowe s"	"Lowe's"	"Household"
"lowes foods"	"Lowes foods"	"Food:Groceries"
"lowes"	"Lowe's"	"Household"
"luby s cafeteria"	"Luby's"	"Food:Dining out"
"mac atm cash withdrawal"	"Mac ATM"	"Cash Withdrawal"
"mac atm deposit"	"Mac ATM"	"Cash Deposit"
"mac atm withdrawal"	"Mac ATM"	"Cash Withdrawal"
"mac frugals"	"Mac Frugals"	"Household"
"mac network"	"Mac"	"Cash Withdrawal"
"mac withdrawal"	"Mac"	"Cash Withdrawal"
"macaroni gr"	"Macaroni Grill"	"Food:Dining out"
"macaroni grill"	"Macaroni Grill"	"Food:Dining out"
"macy s east"	"Macy's"	"Clothing"
"macy s west"	"Macy's"	"Clothing"
"macy s"	"Macy's"	"Clothing"
"macy swest wedchnl com"	"Macy's"	"Clothing"
"mail boxes etc"	"mail boxes etc"	"Miscellaneous"
"marathon ashland"	"Marathon"	"Automobile:Gasoline"
"marie callender s"	"Marie Callender's"	"Food:Dining out"
"market basket"	"Market Basket"	"Food:Groceries"
"marriott"	"Marriott"	"Vacation:Lodging"
"marshall field s"	"Marshall Field's"	"Clothing"
"marshall s"	"Marshalls"	"Clothing"
"marshalls"	"Marshalls"	"Clothing"
"mastercuts"	"MasterCuts"	"Personal Care"
"maverik cntry stre"	"Maverik"	"Automobile"
"mbna america online pmt"	"NBNA"	"Bills:Credit Card Payment"
"mcdonald s"	"McDonald's"	"Food:Dining out"
"mcdonalds"	"McDonald's"	"Food:Dining out"
"mci w"	"MCI"	"Bills:Wireless"
"mci worldcom"	"MCI"	"Bills:Wireless"
"mci"	"MCI"	"Bills:Wireless"
"mciw"	"MCI"	"Bills:Wireless"
"meijer"	"Meijer"	"Household"
"mellon atm deposit"	"Melon ATM"	"Cash Withdrawal"
"mellon atm withdrawal"	"Melon ATM"	"Cash Withdrawal"
"mellow mushroom"	"Mellow Mushroom"	"Food:Dining out"
"menards"	"Menards"	"Household"
"mervyn s"	"Mervyns"	"Clothing"
"mervyns"	"Mervyns"	"Clothing"
"michaels"	"Michaels'"	"Leisure:Hobbies"
"micro center"	"Micro Center"	"Electronics"
"microsoft des edipayment"	"Microsoft"	"Investment Income:Interest"
"microsoft edi paymnt"	"Microsoft"	"Investment Income:Interest"
"microsoft edipayment"	"Microsoft"	"Investment Income:Interest"
"millers outpost"	"Millers Outpost"	"Clothing"
"mimi s cafe"	"Mimi's cafe"	"Food:Groceries"
"mobil oil"	"Mobil"	"Automobile:Gasoline"
"money station atm withdrawal"	"money station ATM"	"Cash Withdrawal"
"money station withdrawal"	"money station"	"Cash Withdrawal"
"money transfer"	"money transfer"	"Bills:Credit Card Payment"
"moneymaker withdrwl"	"MoneyMaker"	"Cash Withdrawal"
"motherhood maternity"	"Motherhood"	"Clothing"
"motherhood"	"Motherhood"	"Clothing"
"msn online"	"MSN"	"Bills:Internet Service"
"msn tv"	"MSN TV"	"Bills:Cable Television"
"murphy usa"	"Murphy USA"	"Automobile:Gasoline"
"music match"	"Musicmatch"	"Leisure"
"nat city atm cash withdrawal"	"National City ATM"	"Cash Withdrawal"
"nat city atm deposit"	"National City"	"Cash Deposit"
"nat city atm transfer"	"National City"	"Bills:Credit Card Payment"
"national car rental"	"National"	"Vacation:Travel"
"national vision eyecare"	"National Vision"	"Healthcare"
"navy exchange"	"Navy Exchange"	"Miscellaneous"
"netflix com"	"Netflix"	"Leisure:Movies and Video Rentals"
"network solutions"	"Network Solutions"	"Bills:Internet Service"
"nevada bob s"	"Nevada Bob's"	"Leisure"
"nevada power"	"NV Energy"	"Bills:Electricity"
"new china buffet"	"New China buffet"	"Food:Dining out"
"new york life ins"	"New York LIFE"	"Insurance:Life Insurance"
"nextel"	"Nextel"	"Bills:Wireless"
"nike factory store"	"Nike"	"Clothing"
"non bankofamerica atm withdrawal"	"Bank of America ATM"	"Cash Withdrawal"
"non versateller atm tr"	"Versateller ATM"	"Bills:Credit Card Payment"
"non versateller atm"	"Versateller ATM"	"Cash Withdrawal"
"nordstrom"	"Nordstrom"	"Clothing"
"nordstrom rack"	"Nordstrom"	"Clothing"
"northern air car payroll"	"Northern air car payroll"	"Investment Income:Interest"
"northern states online pmt"	"Northern states online pmt"	"Bills:Credit Card Payment"
"northwest air"	"Northwest Airlines"	"Vacation:Travel"
"nsf fee item paid"	"NSF fee item paid"	"Bills"
"nsf fee returned item"	"NSF fee returned item"	"Bills"
"nwa air"	"Northwest Airlines"	"Vacation:Travel"
"o charleys"	"O'Charley's"	"Food:Dining out"
"office depot"	"Office Depot"	"Business Expense: Office supplies"
"office max"	"Office Max"	"Business Expense: Office supplies"
"officemax"	"Office Max"	"Business Expense: Office supplies"
"old country buffet"	"Old Country Buffet"	"Food:Dining out"
"old navy"	"Old Navy"	"Clothing"
"olive garden"	"Olive Garden"	"Food:Dining out"
"on the border"	"On The Border"	"Food:Dining out"
"online fee"	"online fee"	"Bank Charges:Service charge"
"online transfer ref"	"online transfer"	"Bills:Credit Card Payment"
"orchard supply"	"Orchard Supply"	"Household"
"oregon liquor store"	"Oregon Liquor"	"Food:Alcohol"
"osco drug"	"Osco drug"	"Healthcare"
"oshman s sporting"	"Oshman's sporting"	"Leisure:Sporting Goods"
"oshman"	"Oshman's sporting"	"Leisure:Sporting Goods"
"outback steakhouse"	"Outback steakhouse"	"Food:Dining out"
"outback"	"Outback steakhouse"	"Food:Dining out"
"overdraft fee"	"overdraft fee"	"Bank Charges:Service charge"
"pacific bell"	"Pacific bell (AT&T)"	"Bills:Telephone"
"pacific gas"	"Pacific Gas"	"Automobile:Gasoline"
"pacific sunwear"	"PacSun"	"Clothing"
"pacific theatre"	"Pacific Theatre"	"Leisure:Entertaining"
"panda express"	"Panda Express"	"Food:Dining out"
"panera bread"	"Panera Bread"	"Food:Dining out"
"papa john s"	"Papa John's"	"Food:Dining out"
"papa johns"	"Papa John's"	"Food:Dining out"
"papa murphy s"	"Papa Murphy's"	"Food:Dining out"
"papa murphys"	"Papa Murphy's"	"Food:Dining out"
"paper warehouse"	"Paper warehouse"	"Household"
"pappasito s cantina"	"Pappasito's Cantina"	"Food:Dining out"
"party city"	"Party City"	"Gifts"
"pathmark"	"Pathmark"	"Food:Groceries"
"payless cashways"	"Payless Cashways"	"Clothing"
"payless shoe"	"Payless shoes"	"Clothing"
"paylessshoe"	"Payless shoes"	"Clothing"
"paypal echeck"	"PayPal"	"Cash Deposit"
"paypal transfer"	"PayPal"	"Bills:Credit Card Payment"
"paypal verifybank"	"PayPal"	"Bank Charges:Service charge"
"pdq stores"	"PDQ"	"Food:Groceries"
"perkins rest"	"Perkins"	"Food:Dining out"
"perkins restaurant"	"Perkins"	"Food:Dining out"
"petco"	"Petco"	"Pet Care"
"petsmart"	"Petsmart"	"Pet Care"
"phillips"	"Phillips"	"Electronics"
"pick n save"	"Pick'n Save"	"Food:Groceries"
"pick up stix"	"Pick Up Stix"	"Food:Dining out"
"pier imports"	"Pier1"	"Household"
"piggly wiggly"	"Piggly Wiggly"	"Food:Groceries"
"pizza a go go"	"Pizza a Go Go"	"Food:Dining out"
"pizza h"	"Pizza Hut"	"Food:Dining out"
"pizza hut"	"Pizza Hut"	"Food:Dining out"
"pizza inn"	"Pizza Inn"	"Food:Dining out"
"pizzeria uno"	"Pizzeria Uno"	"Food:Dining out"
"planet hollywood"	"Planet Hollywood"	"Food:Dining out"
"plus atm withdrawal"	"Plus ATM"	"Cash Withdrawal"
"plus pos withdrawal"	"Plus ATM"	"Cash Withdrawal"
"plus system cash withdrawal"	"Plus ATM"	"Cash Withdrawal"
"plus withdrawal"	"Plus ATM"	"Cash Withdrawal"
"polo factory store"	"Polo factory store"	"Clothing"
"pottery barn"	"Pottery Barn"	"Household"
"price chopper"	"Price Chopper"	"Food:Groceries"
"primerica life"	"Primerica Life"	"Insurance:Life Insurance"
"progressive ins"	"Progressive"	"Insurance:Automobile"
"protection one"	"Protection One"	"Bills:Services"
"providian bank online pmt"	"Providian Bank"	"Bills:Credit Card Payment"
"providian paymt creditcard"	"Providian Bank"	"Bills:Credit Card Payment"
"providian paymt des creditcard"	"Providian Bank"	"Bills:Credit Card Payment"
"public storage"	"public storage"	"Household"
"publix"	"Publix"	"Food:Groceries"
"qfc"	"QFC"	"Food:Groceries"
"quality food center"	"QFC"	"Food:Groceries"
"quality food"	"QFC"	"Food:Groceries"
"quality inn"	"Quality Inn"	"Vacation:Lodging"
"quest"	"Quest"	"Healthcare"
"quick chek"	"Quick Chek"	"Food:Dining out"
"quick lube"	"Quick Lube"	"Automobile:Gasoline"
"quick stop"	"Quick Stop"	"Food:Dining out"
"quiktrip"	"QuikTrip"	"Automobile:Gasoline"
"quizno s"	"Quiznos"	"Food:Dining out"
"quiznos"	"Quiznos"	"Food:Dining out"
"qvc"	"QVC"	"Household"
"qwest auto pay"	"Qwest auto pay"	"Bills"
"qwest comm"	"Qwest comm"	"Bills"
"racetrac"	"RaceTrac"	"Automobile"
"radio shack"	"Radio Shack"	"Electronics"
"radioshack com"	"Radio Shack"	"Electronics"
"radisson hotel"	"Radisson"	"Vacation:Lodging"
"rainbow foods"	"Rainbow foods"	"Food:Groceries"
"raley s"	"Raley's"	"Food:Groceries"
"ralphs"	"Ralphs"	"Food:Groceries"
"ramada inn"	"Ramada Inn"	"Vacation:Lodging"
"randall s food"	"Randalls food"	"Food:Groceries"
"randall s fuel"	"Randalls fuel"	"Automobile:Gasoline"
"randalls"	"Randalls food"	"Food:Groceries"
"red lobster"	"Red Lobster"	"Food:Dining out"
"red robin"	"Red Robin"	"Food:Dining out"
"red roof inn"	"Red Roof Inn"	"Vacation:Lodging"
"regal cinema"	"Regal Cinema"	"Leisure:Entertaining"
"regal cinemas"	"Regal Cinema"	"Leisure:Entertaining"
"regis hair"	"Regis Hair"	"Personal Care"
"rei"	"REI"	"Clothing"
"residence inn"	"Residence Inn"	"Vacation:Lodging"
"restoration hardware"	"Restoration Hardware"	"Household"
"rite aid"	"Rite Aid"	"Healthcare"
"ritz camera"	"Ritz Camera"	"Electronics"
"robinsonmay"	"Robinsons-May"	"Clothing"
"rock bottom brewery"	"Rock Bottom"	"Food:Dining out"
"ross dress for less"	"ROSS"	"Clothing"
"ross store"	"ROSS"	"Clothing"
"rotten robbie"	"Rotten Robbie"	"Automobile:Gasoline"
"round table pizza"	"Round Table Pizza"	"Food:Dining out"
"rubio s"	"Rubio's"	"Food:Dining out"
"ruby tuesday"	"RubyTuesday"	"Food:Dining out"
"ruby tuesdays"	"RubyTuesday"	"Food:Dining out"
"safeco insurance"	"Safeco"	"Insurance"
"safeway"	"Safeway"	"Food:Groceries"
"saks fifth avenue"	"Saks Fifth Avenue"	"Clothing"
"sallie mae"	"SallieMae"	"Bills:Loan Payment"
"sally beauty"	"Sally Beauty"	"Personal Care"
"sam goody"	"Sam Goody"	"Leisure"
"sam s club"	"Sam's Club"	"Food:Groceries"
"sams club"	"Sam's Club"	"Food:Groceries"
"sams gas"	"Sams gas"	"Automobile:Gasoline"
"sams wax"	"Sams Wax"	"Automobile:Car wash"
"sav on drugs"	"Sav-On Drugs"	"Healthcare"
"savemart smkt"	"Save Mart"	"Food:Groceries"
"schlotzsky s"	"Schlotzsky's"	"Food:Dining out"
"schlotzskys deli"	"Schlotzsky's"	"Food:Dining out"
"schlotzskys"	"Schlotzsky's"	"Food:Dining out"
"schnuck s mkt"	"Schnucks"	"Food:Groceries"
"schnucks"	"Schnucks"	"Food:Groceries"
"sears auto cntr"	"Sears auto cntr"	"Automobile"
"sears catalogue"	"Sears"	"Clothing"
"sears com"	"Sears"	"Household"
"sears dealer"	"Sears"	"Automobile"
"sears roebuck"	"Sears"	"Household"
"sears"	"Sears"	"Household"
"service charge"	"service charge"	"Bank Charges:Service charge"
"service chg based on"	"service chg based on"	"Bank Charges:Service charge"
"service merchandise"	"service merchandise"	"Bank Charges:Service charge"
"service station"	"service station"	"Bank Charges:Service charge"
"services billingfee"	"services billingfee"	"Bank Charges:Service charge"
"services des billingfee id"	"services des billingfee id"	"Bank Charges:Service charge"
"sharebuilder sec des transfer"	"ShareBuilder"	"Bills:Credit Card Payment"
"sharebuilder sec netstock"	"ShareBuilder"	"Investment Income"
"sharebuilder sec transfer"	"ShareBuilder"	"Bills:Credit Card Payment"
"sharebuilder transfer"	"ShareBuilder"	"Bills:Credit Card Payment"
"sheetz"	"Sheetz"	"Food:Dining out"
"shell no"	"Shell"	"Automobile:Gasoline"
"sheraton hotel"	"Sheraton"	"Vacation:Lodging"
"shoe carnival"	"Shoe Carnival"	"Clothing"
"shoe pavilion"	"Shoe Pavilion"	"Clothing"
"shop n save"	"Shop'n Save"	"Food:Groceries"
"shop rite"	"Shop Rite"	"Food:Groceries"
"shopko"	"Shopko"	"Clothing"
"shoprite"	"Shop Rite"	"Food:Groceries"
"smart final co"	"Smart&Final"	"Food:Groceries"
"smartstyle"	"SmartStyle"	"Personal Care"
"smiths food drug"	"Smith's"	"Food:Groceries"
"sonic drive in"	"Sonic"	"Food:Dining out"
"sou usps"	"USPS"	"Mail and Paper Work"
"souper salad"	"Souper Salad"	"Food:Dining out"
"southwest air"	"Southwest Airlines"	"Vacation:Travel"
"southwest gas"	"Southwest Gas"	"Bills:Natural Gas"
"southwestair"	"Southwest Airlines"	"Vacation:Travel"
"southwestern bel"	"Southwestern Bell"	"Bills:Telephone"
"speed sm"	"Speed sm"	"Automobile"
"speedee mart"	"Speedee Mart"	"Automobile"
"speedo authentic"	"Speedo"	"Clothing"
"speedway"	"Speedway"	"Automobile:Gasoline"
"sport chalet"	"Sport Chalet"	"Leisure:Sporting Goods"
"sportmart"	"SportMart"	"Leisure:Sporting Goods"
"sportsmans guide"	"Sportsman's Guide"	"Clothing"
"spring creek barb"	"Spring Creek Barbeque"	"Food:Dining out"
"springmaid factory"	"Springmaid factory"	"Household"
"sprint broadband"	"Sprint Broadband"	"Bills:Wireless"
"sprint foncard"	"Sprint"	"Bills:Wireless"
"sprint ld"	"Sprint"	"Bills:Wireless"
"sprint local"	"Sprint"	"Bills:Wireless"
"sprint payphone"	"Sprint"	"Bills:Wireless"
"sprint pcs"	"Sprint"	"Bills:Wireless"
"sprintpcs"	"Sprint"	"Bills:Wireless"
"stamps com"	"stamps.com"	"Mail and Paper Work"
"staples"	"Staples"	"Business Expense: Office supplies"
"star market"	"StarMarket"	"Food:Groceries"
"starbucks"	"Starbucks"	"Food:Dining out"
"state farm ins"	"State Farm Insurance"	"Insurance"
"state farm life ins"	"State Farm Insurance"	"Insurance:Life Insurance"
"state farm"	"State Farm Insurance"	"Insurance"
"state liquor store"	"Liquor store"	"Food:Alcohol"
"stater bros"	"Stater Bros"	"Food:Groceries"
"stein mart"	"Stein Mart"	"Clothing"
"stop shop"	"Stop&Shop"	"Food:Groceries"
"stop n go"	"Stop-n-Go"	"Food:Dining out"
"stop n save"	"Stop-N-Save"	"Food:Groceries"
"storage usa"	"Storage USA"	"Household"
"structure"	"Structure"	"Clothing"
"subway"	"Subway"	"Food:Dining out"
"suncoast"	"Suncoast"	"Leisure"
"sunoco"	"Sunoco"	"Automobile:Gasoline"
"suntrust withdrwl"	"Suntrust"	"Cash Withdrawal"
"super china buffet"	"Super China Buffet"	"Food:Dining out"
"super cuts"	"Super Cuts"	"Personal Care"
"super food"	"Super Food"	"Food:Groceries"
"super foodmart"	"Super Food"	"Food:Groceries"
"super foods"	"Super Food"	"Food:Groceries"
"super fresh"	"Super Fresh"	"Food:Groceries"
"super kmart"	"Kmart"	"Household"
"super motel"	"Super Motel"	"Vacation:Lodging"
"super saver"	"Super Saver"	"Food:Groceries"
"super shuttle"	"Super Shuttle"	"Vacation:Travel"
"super stop"	"Super Stop"	"Automobile:Gasoline"
"superamerica"	"SuperAmerica"	"Automobile:Gasoline"
"supercuts"	"Super Cuts"	"Personal Care"
"superfresh"	"Super Fresh"	"Food:Groceries"
"supershuttle"	"Super Shuttle"	"Vacation:Travel"
"sweet tomatoes"	"Sweet Tomatoes"	"Food:Dining out"
"t g i friday s"	"T.G.I. Friday's"	"Food:Dining out"
"t j maxx"	"T.J. Maxx"	"Clothing"
"taco bell"	"Taco Bell"	"Food:Dining out"
"taco cabana"	"Taco Cabana"	"Food:Dining out"
"taco del mar"	"Taco Del Mar"	"Food:Dining out"
"taco mac"	"TACOMAC"	"Food:Dining out"
"target"	"Target"	"Household"
"tele transfer"	"telephone transfer"	"Bills:Credit Card Payment"
"telephone transfer"	"telephone transfer"	"Bills:Credit Card Payment"
"texaco"	"Texaco"	"Automobile:Gasoline"
"texas roadhouse"	"Texas roadhouse"	"Food:Dining out"
"tgi friday s"	"T.G.I. Friday's"	"Food:Dining out"
"tgi fridays"	"T.G.I. Friday's"	"Food:Dining out"
"the athlete s foot"	"The Athlete's Foot"	"Clothing"
"the athletes ft"	"The Athlete's Foot"	"Clothing"
"the body shop"	"The Body Shop"	"Personal Care"
"the bombay company"	"Bombay"	"Household"
"the bon marche"	"The Bon Marche'"	"Clothing"
"the book market"	"The Book Market"	"Leisura:Books and Magazines"
"the childrens place"	"The Childrens Place"	"Clothing"
"the coach store"	"Coach"	"Clothing"
"the coffee bean"	"The Coffee Bean"	"Food:Groceries"
"the container store"	"The Container Store"	"Household"
"the copps food ctr"	"Copps"	"Food:Groceries"
"the depot"	"The Depot"	"Food:Dining out"
"the disney store"	"The Disney store"	"Gifts"
"the floral cottage"	"The Floral Cottage"	"Gifts"
"the gap"	"GAP"	"Clothing"
"the gas company"	"Gas company"	"Automobile:Gasoline"
"the great wall"	"The Great Wall"	"Food:Dining out"
"the home depot"	"Home Depot"	"Household"
"the melting pot"	"The Melting Pot"	"Food:Dining out"
"the men s wearhouse"	"Men's Wearhouse"	"Clothing"
"the old spaghetti fact"	"The Old Spaghetti factory"	"Food:Dining out"
"the olive gard"	"Olive Garden"	"Food:Dining out"
"the original pancake"	"The Original Pancake house"	"Food:Dining out"
"the original pasta co"	"The Original Pasta"	"Food:Dining out"
"the pep boys"	"Pep Boys"	"Automobile:Maintenance"
"the pepboys"	"Pep Boys"	"Automobile:Maintenance"
"the perfect cut"	"The Perfect cut"	"Bills:Services"
"the picture people"	"Picture People"	"Miscellaneous"
"the salvation army"	"The Salvation Army"	"Donations"
"the sports auth"	"Sports Authority"	"Leisure:Sporting Goods"
"the talbots"	"Talbots"	"Clothing"
"the talpa"	"TheTalpa"	"Food:Dining out"
"the tan factory"	"Tan Factory"	"Personal Care"
"the wiz"	"WIZ"	"Electronics"
"thornton oil"	"Thornton"	"Automobile:Gasoline"
"thrifty car rental"	"Thrifty"	"Vacation:Travel"
"ticketmaster"	"Ticketmaster.com"	"Leisure:Entertaining"
"time warner"	"time warner"	"Investment Income"
"time wrnr cbl"	"Time Warner Cable"	"Utilities"
"tivo inc"	"TiVo"	"Leisure:Entertaining"
"tj maxx"	"TJ Maxx"	"Clothing"
"togo s"	"Togo's"	"Food:Dining out"
"tom thumb"	"Tom Thumb"	"Food:Dining out"
"tony roma s"	"Tony Roma's"	"Food:Dining out"
"tony romas"	"Tony Roma's"	"Food:Dining out"
"tops markets"	"Tops Market"	"Food:Groceries"
"tower mart"	"Tower Mart"	"Food:Groceries"
"tower rec video"	"tower.com"	"Leisure:Entertaining"
"tower records"	"tower.com"	"Leisure:Entertaining"
"toys r us"	"Toys-R-Us"	"Leisure:Toys and Games"
"trade secret"	"Trade Secret"	"Personal Care"
"trader joe s"	"Trader Joe's"	"Food:Groceries"
"trader joes"	"Trader Joe's"	"Food:Groceries"
"trans occid life"	"Transamerica"	"Insurance:Life Insurance"
"trans union credit"	"TransUnion"	"Bills:Credit Card Payment"
"trans world airlines"	"Trans World Airlines"	"Vacation:Travel"
"transamerica cap payroll"	"Transamerica"	"Investment Income:Interest"
"transfer fee"	"transfer fee"	"Bank Charges:Service charge"
"transfer"	"transfer"	"Bills:Credit Card Payment"
"treasure island"	"Treasure Island"	"Leisure:Entertaining"
"tully s coffee"	"TullY's Coffee"	"Food:Dining out"
"u haul"	"U-Haul"	"Household"
"uhaul"	"U-Haul"	"Household"
"united air"	"United Airlines"	"Vacation:Travel"
"universal studios food"	"Universal Studios food"	"Food:Dining out"
"universal studios tckt"	"Universal Studios"	"Leisure:Entertaining"
"university bookstore"	"University bookstore"	"Education:Books"
"ups"	"UPS"	"Mail and Paper Work"
"urban outfitters"	"Urban Outfitters"	"Clothing"
"us air"	"Us Airways"	"Vacation:Travel"
"us treasury civil serv"	"Us Teasury"	"Other Income:State and Local Tax Refund"
"us treasury des civil serv"	"Us Teasury"	"Other Income:State and Local Tax Refund"
"us treasury des soc sec"	"Us Teasury"	"Other Income:State and Local Tax Refund"
"us treasury des va benefit"	"Us Teasury"	"Other Income:State and Local Tax Refund"
"us treasury rr ret"	"Us Teasury"	"Other Income:State and Local Tax Refund"
"us treasury soc sec"	"Us Teasury"	"Other Income:State and Local Tax Refund"
"us treasury supp sec"	"Us Teasury"	"Other Income:State and Local Tax Refund"
"us treasury tax refund"	"Us Teasury"	"Other Income:State and Local Tax Refund"
"us treasury va benefit"	"Us Teasury"	"Other Income:State and Local Tax Refund"
"us west comm auto pay"	"US West"	"Automobile:Car payment"
"us west telephone"	"US West"	"Bills:Wireless"
"usa petroleum"	"Usa Petroleum"	"Automobile:Gasoline"
"usairways"	"Us Airways"	"Vacation:Travel"
"usps"	"USPS"	"Mail and Paper Work"
"valero"	"Valero"	"Automobile:Gasoline"
"value city"	"Value City furniture"	"Household"
"verizon internet"	"Verizon"	"Bills:Internet Service"
"verizon on line"	"Verizon"	"Bills:Internet Service"
"verizon phone"	"Verizon"	"Bills:Telephone"
"verizon phonemart"	"Verizon"	"Bills:Telephone"
"verizon wireless"	"Verizon"	"Bills:Wireless"
"verizon wrls"	"Verizon"	"Bills:Wireless"
"verizon"	"Verizon"	"Bills:Wireless"
"verizonlocal"	"Verizon"	"Bills:Telephone"
"verizonwirel"	"Verizon"	"Bills:Wireless"
"verizonwireless"	"Verizon"	"Bills:Wireless"
"via atm"	"Via ATM"	"Cash Withdrawal"
"victoria s secret"	"Victoria's Secret"	"Clothing"
"victoria secret"	"Victoria's Secret"	"Clothing"
"victorias secr"	"Victoria's Secret"	"Clothing"
"village inn"	"Village Inn"	"Vacation:Lodging"
"virgin megastore"	"Virgin Megastore"	"Leisure:Entertaining"
"voicestream wireless"	"VoiceStream"	"Bills:Wireless"
"voicestream"	"VoiceStream"	"Bills:Wireless"
"vons"	"VONS"	"Food:Groceries"
"wachovia bank withdrwl"	"Wachovia"	"Cash Withdrawal"
"wal mart super"	"Walmart super center"	"Household"
"wal mart supercent"	"Walmart super center"	"Household"
"wal mart"	"Walmart"	"Household"
"wal sam s"	"Sam's Club"	"Food:Groceries"
"wal sams"	"Sam's Club"	"Food:Groceries"
"wal wal mart"	"Walmart"	"Household"
"waldenbooks"	"WaldenBooks"	"Education:Books"
"walgreen"	"Walgreen"	"Healthcare"
"walmart payroll"	"Walmart"	"Household"
"walmart store"	"Walmart"	"Household"
"walmart supercenter"	"Walmart super center"	"Household"
"walmrt supercnt"	"Walmart super center"	"Household"
"warner bros"	"Warnerbros.com"	"Leisure:Entertaining"
"wawa"	"WaWa"	"Automobile:Gasoline"
"web transfer"	"Web transfer"	"Bills:Credit Card Payment"
"web tv"	"Web TV"	"Bills:Internet Service"
"web xfer"	"Web transfer"	"Bills:Internet Service"
"wegmans"	"Wegmans"	"Food:Groceries"
"wells fargo auto pay"	"Wells Fargo"	"Automobile:Car payment"
"wells fargo bank check acc"	"Wells Fargo"	"Bills:Credit Card Payment"
"wells fargo bank loan pmt"	"Wells Fargo"	"Bills:Loan Payment"
"wells fargo bank payrll"	"Wells Fargo"	"Wages and Salary"
"wells fargo card online pmt"	"Wells Fargo"	"Bills:Credit Card Payment"
"wells fargo checkpaymt"	"Wells Fargo"	"Bills:Credit Card Payment"
"wells fargo co dividend"	"Wells Fargo"	"Investment Income:Dividends"
"wells fargo efs student ln"	"Wells Fargo"	"Bills:Loan Payment"
"wells fargo fin payroll"	"Wells Fargo"	"Wages and Salary"
"wells fargo fncl online pmt"	"Wells Fargo"	"Bills:Credit Card Payment"
"wells fargo home eqty enhnc"	"Wells Fargo"	"Bills:Mortgage Payment"
"wells fargo jit"	"Wells Fargo"	"Bills"
"wells fargo mrtg online pmt"	"Wells Fargo"	"Bills:Mortgage Payment"
"wells fargo serv payrll dep"	"Wells Fargo"	"Wages and Salary"
"wellsfargo nw mtg pmt"	"Wells Fargo"	"Bills:Mortgage Payment"
"wendy s"	"Wendy's"	"Food:Dining out"
"wendys"	"Wendy's"	"Food:Dining out"
"west coast video"	"West Coast Video"	"Leisure:Movies and Video Rentals"
"west marine"	"West Marine"	"Leisure:Sporting Goods"
"western sizzlin"	"Western Sizzlin"	"Food:Dining out"
"westin hotels"	"Westin"	"Vacation:Lodging"
"whataburger"	"Whataburger"	"Food:Dining out"
"wherehouse music"	"wherehousemusic.com"	"Leisure:Entertaining"
"white hen pantry"	"White Hen"	"Food:Groceries"
"whole food"	"Whole Food"	"Food:Groceries"
"williams sonoma"	"Williams Sonoma"	"Household"
"williams travel"	"Williams Travel"	"Vacation"
"winn dixie"	"Winn Dixie"	"Food:Groceries"
"wm supercenter"	"Walmart super center"	"Household"
"wolf camera"	"WolfCamera.com"	"Electronics"
"world gym"	"World Gym"	"Leisure:Sporting Events"
"world oil"	"World Oil"	"Automobile:Maintenance"
"world savings des mortg pmt"	"World Savings"	"Bills:Mortgage Payment"
"world savings mortg pmt"	"World Savings"	"Bills:Mortgage Payment"
"world savings withdrwl"	"World Savings"	"Cash Withdrawal"
"world vision"	"World Vision"	"Donations"
"world wrapps"	"World Wrapps"	"Food:Dining out"
"worlds of fun"	"Worlds of Fun"	"Leisure:Entertaining"
"wpi ifriends"	"WPI IFriends"	"Leisure:Entertaining"
"wthdrwl"	"Withdrawal"	"Cash Withdrawal"
"www earthlink net"	"Earthlink"	"Bills:Internet Service"
"ymca"	"YMCA"	"Leisure:Sporting Events"
"zany brainy"	"Zany Brainy"	"Leisure:Toys and Games"
"discover"	"Discover"	"Bills:Credit Card Payment"
"citimortgage"	"Citi Mortgage"	"Bills:Mortgage Payment"
