"atm surcharge reimbursement"	"ATM"	"Bank Charges:Service charge"
"atm transfer"	"ATM"	"Bills:Credit Card Payment"
"atm trsfr"	"ATM"	"Bills:Credit Card Payment"
"atm usage credit"	"ATM"	"Bills:Credit Card Payment"
"atm usage fee"	"ATM"	"Bank Charges:Service charge"
"atm w d"	"ATM"	"Cash Withdrawal"
"atm wdl"	"ATM"	"Cash Withdrawal"
"atm withdr"	"ATM"	"Cash Withdrawal"
"atm withdrawal crg"	"ATM"	"Cash Withdrawal"
"atm withdrawal"	"ATM"	"Cash Withdrawal"
"atm withdrawl"	"ATM"	"Cash Withdrawal"
"atm wth"	"ATM"	"Cash Withdrawal"
"atm xfer"	"ATM"	"Bills:Credit Card Payment"
"att at t servs"	"AT&T"	"Bills:Telephone"
"att des at t servs"	"AT&T"	"Bills:Telephone"
"auto barn"	"Auto Barn"	"Automobile:Maintenance"
"auto zone"	"AutoZone"	"Automobile:Maintenance"
"autozone"	"AutoZone"	"Automobile:Maintenance"
"avis"	"AVIS"	"Vacation:Travel"
"b dalton"	"B. Dalton"	"Leisure:Books and Magazines"
"b of a withdrwl"	"Bank of America"	"Cash Withdrawal"
"babies r us"	"Babies r Us"	"Leisure:Toys and Games"
"baja fresh"	"Baja Fresh"	"Food:Dining out"
"balance transfer"	"Bank"	"Bank Charges"
"bally total fitness"	"Bally"	"Leisure:Sporting Events"
"banana republic"	"Banana Republic"	"Clothing"
"bank one atm"	"Bank1One"	"Cash Withdrawal"
"bankofamerica atm bal inq"	"Bank of America"	"Bank Charges:Service charge"
"bankofamerica atm trans fr"	"Bank of America"	"Bills:Credit Card Payment"
"bankofamerica atm trsf to"	"Bank of America"	"Bills:Credit Card Payment"
"bankofamerica atm withdrawal on at"	"Bank of America"	"Cash Withdrawal"
"bankofamerica atm withdrawal"	"Bank of America"	"Cash Withdrawal"
"bankofamericaky mtg paymt"	"Bank of America"	"Bills:Mortgage Payment"
"barnes noble com"	"Barnes & Noble"	"Education:Books"
"barnes noble"	"Barnes & Noble"	"Education:Books"
"barnesandnoble com"	"Barnes & Noble"	"Education:Books"
"barneys new york"	"Barneys New York"	"Clothing"
"bartell drug"	"Bartell drugs"	"Healthcare"
"basha s"	"Bashas"	"Food:Groceries"
"bashas"	"Bashas"	"Food:Groceries"
"baskin robbins"	"Baskin Robbins"	"Food:Groceries"
"bass shoe"	"Bass"	"Clothing"
"bath body"	"Bath & Body"	"Household"
"bed bath bey"	"Bed Bath & Beyond"	"Household"
"bed bath beyond"	"Bed Bath & Beyond"	"Household"
"bedbath"	"Bed Bath & Beyond"	"Household"
"bell atlantic"	"Bell Atlantic"	"Bills:Telephone"
"bellsouth internet"	"Bellsouth"	"Bills:Internet Service"
"bellsouth"	"Bellsouth"	"Bills:Telephone"
"bennigan s"	"Bennigans"	"Food:Dining out"
"bennigans"	"Bennigans"	"Food:Dining out"
"best buy co in payrll dep"	"Best Buy"	"Electronics"
"best buy stores payrll dep"	"Best Buy"	"Electronics"
"best buy"	"Best Buy"	"Electronics"
"best teriyaki"	"Best Teriyaki"	"Food:Dining out"
"best western"	"Best Western"	"Vacation:Lodging"
"bi lo"	"Bi-Lo"	"Food:Groceries"
"big bear"	"Big Bear"	"Vacation"
"big lots"	"Big Lots"	"Household"
"big sporting"	"Big 5"	"Leisure:Sporting Goods"
"billpoint des settlement"	"Billpoint"	"Bank Charges:Service charge"
"billpoint settlement"	"Billpoint"	"Bank Charges:Service charge"
"bilo"	"Bi-Lo"	"Food:Groceries"
"bj s"	"BJ's"	"Food:Groceries"
"bk of amer vi mc des online pmt"	"Bank of America"	"Bills:Credit Card Payment"
"bkofamerica atm deposit"	"Bank of America"	"Cash Deposit"
"bkofamerica atm withdrwl"	"Bank of America"	"Cash Withdrawal"
"black angus"	"Black Angus"	"Food:Dining out"
"black decker"	"Black&Decker"	"Household"
"black eyed pea"	"Black-eyed Pea"	"Food:Dining out"
"blockbuste"	"Blockbuster"	"Leisure:Movies and Video Rentals"
"blockbuster"	"Blockbuster"	"Leisure:Movies and Video Rentals"
"bloomingdale s"	"Bloomingdale's"	"Clothing"
"bloomingdales"	"Bloomingdale's"	"Clothing"
"blue cross"	"BCBS"	"Insurance:Health"
"bob evans"	"Bob Evans"	"Food:Dining out"
"books are fun"	"BooksAreFun"	"Education:Books"
"booksamillion"	"Books-A-Million"	"Education:Books"
"borders books"	"Borders"	"Education:Books"
"boston financial investment"	"BostonFinancial"	"Investment Income"
"boston market"	"Boston Market"	"Food:Dining out"
"bp oil"	"BP"	"Automobile:Gasoline"
"brooks brothers"	"Brooks Brothers"	"Clothing"
"brooks pharmacy"	"Brooks Pharmacy"	"Healthcare"
"brookshire bro"	"Brookshire Brothers"	"Food:Groceries"
"brookstone"	"Brookstone"	"Household"
"budget rent a car"	"Budget"	"Vacation:Travel"
"buffet"	"Buffet"	"Food:Dining out"
"buffalo wild wings"	"Buffalo Wild Wings"	"Food:Dining out"
"burger king"	"Burger King"	"Food:Dining out"
"burlington coa"	"Burlington"	"Clothing"
"burlington coat"	"Burlington"	"Clothing"
"byerly s"	"Byerly's"	"Food:Groceries"
"cablevision"	"Cablevision"	"Bills:Internet Service"
"cafe"	"Cafe"	"Food:Dining out"
"cafe express"	"Cafe-Express"	"Food:Dining out"
"cafe iberico"	"Cafe IBERICO"	"Food:Dining out"
"cafe ophelia"	"Cafe Ophelia"	"Food:Dining out"
"calif pizza"	"California Pizza"	"Food:Dining out"
"capital one card des online pmt"	"Capital One"	"Bills:Credit Card Payment"
"capital one card online pmt"	"Capital One"	"Bills:Credit Card Payment"
"capital one des online pmt"	"Capital One"	"Bills:Credit Card Payment"
"capital one online pmt"	"Capital One"	"Bills:Credit Card Payment"
"carl s jr"	"Carl's Jr."	"Food:Dining out"
"carrabba s"	"Carrabba's"	"Food:Dining out"
"casey s bar"	"Casey's"	"Food:Dining out"
"casey s gnrl stre"	"Casey's"	"Food:Dining out"
"cash adv"	"Cash Advance"	"Cash Withdrawal"
"cash advance"	"Cash Advance"	"Cash Withdrawal"
"cash atm"	"ATM"	"Cash Withdrawal"
"cash bank of america"	"Bank of America"	"Cash Withdrawal"
"cash southtrust bank"	"Southtrust Bank"	"Cash Withdrawal"
"cash station atm"	"ATM"	"Cash Withdrawal"
"cash withdrawal at non citibank atm"	"Citibank"	"Cash Withdrawal"
"cash withdrawal"	"cash withdrawal"	"Cash Withdrawal"
"casinocash withdrwl"	"Casino"	"Cash Withdrawal"
"casual corner"	"Casual Corner"	"Clothing"
"casual male"	"Casual Corner"	"Clothing"
"century twenty one"	"Century21"	"Real Estate"
"champps americana"	"ChamppS"	"Food:Dining out"
"champs"	"ChamppS"	"Food:Dining out"
"charles schwab des moneylink"	"Charles Schwab"	"Cash Withdrawal"
"charles schwab moneylink"	"Charles Schwab"	"Cash Withdrawal"
"charlie brown s"	"Charlie Brown's"	"Food:Dining out"
"charlie browns"	"Charlie Brown's"	"Food:Dining out"
"charlotte russe"	"Charlotte Russe"	"Clothing"
"charter cable"	"Charter"	"Bills:Internet Service"
"charter comm"	"Charter"	"Bills:Internet Service"
"chase auto finance"	"Chase"	"Automobile:Car payment"
"chase automotive online pmt"	"Chase"	"Automobile:Car payment"
"chase card serv payment"	"Chase"	"Bills:Credit Card Payment"
"chase credit ca bill pay"	"Chase"	"Bills:Credit Card Payment"
"chase credit crd online pmt"	"Chase"	"Bills:Credit Card Payment"
"chase loans"	"Chase"	"Bills:Loan Payment"
"chase manhattan online pmt"	"Chase Manhattan"	"Bills:Credit Card Payment"
"chase manhattan re payment"	"Chase Manhattan"	"Bills:Credit Card Payment"
"chase mtge online pmt"	"Chase"	"Bills:Mortgage Payment"
"chase withdrwl"	"Chase"	"Cash Withdrawal"
"checks in the mail"	"CHECKS in the mail"	"Mail and Paper Work"
"chevron"	"Chevron"	"Automobile:Gasoline"
"childrens plc"	"Children's place"	"Clothing"
"chili s"	"Chili's"	"Food:Dining out"
"china buffet"	"China Buffet"	"Food:Dining out"
"china express"	"China Express"	"Food:Dining out"
"china garden"	"China Garden"	"Food:Dining out"
"china star"	"China Star"	"Food:Dining out"
"china wok"	"China Wok"	"Food:Dining out"
"chipotle mexican"	"Chipotle"	"Food:Dining out"
"chuck e cheese"	"Chuck E. Cheese's"	"Food:Dining out"
"cigarettes chea"	"Cigarettes store"	"Cigarettes"
"cigarettes cheaper"	"Cigarettes store"	"Cigarettes"
